index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-05-06 04:00,8,La Paz,131,30,93
154,2020-05-06 04:01,10,Montero,251,11,230
162,2020-05-06 04:01,0,Omereque,5,4,1
163,2020-05-06 04:01,3,Oruro,78,22,53
174,2020-05-06 04:02,1,Patacamaya,23,3,19
183,2020-05-06 04:02,0,Porongo (Ayacucho),1,1,0
187,2020-05-06 04:02,1,Potosi,29,2,26
209,2020-05-06 04:03,1,Robore,5,3,1
212,2020-05-06 04:03,1,Sacaba,3,1,1
226,2020-05-06 04:04,0,San Carlos,1,1,0
252,2020-05-06 04:04,29,Santa Cruz de la Sierra,565,48,488
262,2020-05-06 04:05,0,Santibañez,12,8,4
272,2020-05-06 04:05,1,Sucre,5,0,4
282,2020-05-06 04:05,0,Tarija,3,0,3
310,2020-05-06 04:06,0,Vallegrande,8,4,4
311,2020-05-06 04:06,1,Punata,9,0,8
312,2020-05-06 04:06,0,Cairoma,12,1,11
313,2020-05-06 04:06,0,Capinota,0,0,0
314,2020-05-06 04:06,1,Quillacollo,18,0,17
315,2020-05-06 04:06,1,Cliza,1,0,0
317,2020-05-06 04:06,0,Huanuni,21,4,17
318,2020-05-06 04:06,0,Laja,1,0,1
319,2020-05-06 04:06,4,Eucaliptus,9,0,5
320,2020-05-06 04:07,0,San Julián,1,0,1
321,2020-05-06 04:07,0,Malla,1,0,1
322,2020-05-06 04:07,0,Chulumani,1,0,1
323,2020-05-06 04:07,0,Santuario de Quillacas,3,2,1
324,2020-05-06 04:07,3,La Guardia,51,0,48
325,2020-05-06 04:07,0,Cotoca,8,0,8
326,2020-05-06 04:07,1,Warnes,22,0,21
327,2020-05-06 04:07,0,Uyuni,1,0,1
328,2020-05-06 04:07,0,Santa Rosa,16,0,16
329,2020-05-06 04:07,0,San Pedro,1,0,1
330,2020-05-06 04:07,0,Genreal Saavedra,5,0,5
331,2020-05-06 04:07,6,Trinidad,210,0,204
334,2020-05-06 04:07,0,Mineros,12,0,12
335,2020-05-06 04:07,0,El Torno,13,0,13
336,2020-05-06 04:07,0,Colcha K,3,0,3
337,2020-05-06 04:07,0,Pailon,8,0,8
338,2020-05-06 04:07,0,Moxos,1,0,1
339,2020-05-06 04:07,0,Mairana,1,0,1
340,2020-05-06 04:07,0,Buena Vista,1,0,1
341,2020-05-06 04:07,0,Portachuelo,3,0,3
342,2020-05-06 04:07,0,Viacha,1,0,1
343,2020-05-06 04:07,0,Camiri,2,0,2
344,2020-05-06 04:07,0,Vinto,1,0,1
345,2020-05-06 04:07,0,Guayaramerin,1,0,1
346,2020-05-06 04:07,0,Achacachi,1,0,1
347,2020-05-06 04:07,0,Cabezas,2,0,2
348,2020-05-06 04:07,1,Yacuiba,1,0,0
349,2020-05-06 04:07,0,Puerto Suarez,1,0,1
350,2020-05-06 04:07,0,Chulumani,1,0,1
55,2020-05-06 03:58,0,Chimore,1,1,0
64,2020-05-06 03:58,1,Cobija,12,6,5
66,2020-05-06 03:58,2,Cochabamba,30,10,18
68,2020-05-06 03:58,0,Colcapirhua,2,1,1
79,2020-05-06 03:59,0,Concepcion,1,0,1
80,2020-05-06 03:59,0,Copacabana,1,1,0
95,2020-05-06 03:59,6,El Alto,71,10,55
